"LV01","LV02","37"
"LV02","LV03","49"
"LV03","LV04","11"
"LV04","LV05","57"
"LV05","LV06","83"
"LV06","LV07","71"
"LV07","LV08","92"
"LV08","LV09","98"
"LV09","LV10","21"
"LV10","LV11","66"
"LV11","LV12","81"
"LV12","LV13","35"
"LV13","LV14","51"
"LV14","LV15","100"
"LV15","LV16","58"
"LV16","LV17","36"
"LV17","LV18","30"
"LV18","LV19","185"
"LV19","LV20","80"
"LV20","LV21","109"
"LV21","LV22","47"
"LV22","LV23","25"
"LV23","LV24","224"
"LV24","LV25","57"
"LV25","LV26","51"
"LV26","LV27","50"
"LV27","LV28","123"
"LV28","LV29","67"
"LV29","LV30","41"
"LV30","LV31","240"
"LV31","LV32","76"
"LV32","LV33","228"
"LV33","LV34","136"
"LV34","LV35","217"
"LV35","LV36","129"
"LV36","LV37","223"
"LV37","LV38","48"
"LV38","LV39","63"
"LV39","LV40","54"
"LV40","LV41","15"
"LV41","LV42","46"
"LV42","LV43","116"
"LV43","LV44","136"
"LV44","LV45","90"
"LV45","LV46","215"
"LV46","LV47","356"
"LV47","LV48","410"
"LV48","LV49","112"
"LV49","LV50","135"
"LV50","LV51","108"
"LV51","LV52","22"
"LV52","LV53","169"
"LV53","LV54","85"
"LV01","LV03","39"
"LV02","LV04","59"
"LV03","LV05","61"
"LV04","LV06","41"
"LV05","LV07","121"
"LV06","LV08","34"
"LV07","LV09","31"
"LV08","LV10","109"
"LV09","LV11","68"
"LV10","LV12","133"
"LV11","LV13","47"
"LV12","LV14","51"
"LV13","LV15","123"
"LV14","LV16","129"
"LV15","LV17","88"
"LV16","LV18","41"
"LV17","LV19","187"
"LV18","LV20","247"
"LV19","LV21","40"
"LV20","LV22","85"
"LV21","LV23","72"
"LV22","LV24","199"
"LV23","LV25","281"
"LV24","LV26","108"
"LV25","LV27","100"
"LV26","LV28","76"
"LV27","LV29","102"
"LV28","LV30","96"
"LV29","LV31","204"
"LV30","LV32","315"
"LV31","LV33","163"
"LV32","LV34","285"
"LV33","LV35","177"
"LV34","LV36","335"
"LV35","LV37","97"
"LV36","LV38","180"
"LV37","LV39","107"
"LV38","LV40","14"
"LV39","LV41","53"
"LV40","LV42","37"
"LV41","LV43","128"
"LV42","LV44","73"
"LV43","LV45","87"
"LV44","LV46","168"
"LV45","LV47","151"
"LV46","LV48","57"
"LV47","LV49","322"
"LV48","LV50","139"
"LV49","LV51","142"
"LV50","LV52","110"
"LV51","LV53","181"
"LV52","LV54","85"
"LV01","LV04","43"
